Rk,Name,Tm,Lg,PA,HR,RBI,SB,BA,OPS,G,GS,Rtot,Pos Summary,rOBA,WAR
572,Magneuris Sierra*,MIA,NL,53,0,7,4,0.25,0.697,3,0,,P,0.364,-0.2
573,Andrelton Simmons,LAA,AL,127,0,10,2,0.297,0.702,4,3,0,C,0.35,0.5
574,Chance Sisco*,BAL,AL,121,4,10,0,0.214,0.741,19,0,,P,0.395,
575,Austin Slater,SFG,NL,104,5,7,8,0.282,0.914,13,2,,P,0.3,
576,Dominic Smith*,NYM,NL,199,10,42,0,0.316,0.993,13,3,1,OF,0.326,1.3
577,Dwight Smith Jr.*,BAL,AL,72,2,6,1,0.222,0.671,43,40,2,C,0.1,0
578,Kevan Smith,TBR,AL,38,1,8,0,0.258,0.83,27,0,,P,0.374,-0.6
579,Mallex Smith*,SEA,AL,47,0,3,2,0.133,0.348,12,10,,P,0.283,
580,Pavin Smith*,ARI,NL,44,1,4,1,0.27,0.746,17,13,-1,OF,0.332,0
581,Will Smith,LAD,NL,137,8,25,0,0.289,0.98,1,1,,P,0.312,
582,Justin Smoak#,TOT,NL,132,5,15,0,0.176,0.611,25,18,-1,C,0.378,
583,Justin Smoak#,MIL,NL,126,5,15,0,0.186,0.642,22,0,,P,0.263,-0.3
584,Justin Smoak#,SFG,NL,6,0,0,0,0,0,2,0,,P,0.291,0.7
585,Eric Sogard*,MIL,NL,128,1,10,0,0.209,0.56,54,54,5,OF,0.204,
586,Nick Solak,TEX,AL,233,2,23,7,0.268,0.671,25,0,,P,0.249,
587,Donovan Solano,SFG,NL,203,3,29,0,0.326,0.828,5,4,0,OF,0.308,-0.5
588,Jorge Soler,KCR,AL,174,8,24,0,0.228,0.769,24,0,,P,0.312,
589,Elliot Soto,LAA,AL,7,0,0,0,0.333,0.929,28,28,-5,OF,0.308,0.4
590,Juan Soto*,WSN,NL,196,13,37,6,0.351,1.185,2,2,0,2B,0.327,0
591,Steven Souza Jr.,CHC,NL,31,1,5,1,0.148,0.591,21,0,,P,0.176,
592,George Springer,HOU,AL,222,14,32,1,0.265,0.899,3,2,-2,1B,0.311,1.4
593,Jacob Stallings,PIT,NL,143,3,18,0,0.248,0.702,3,2,-2,C,0.278,
594,Giancarlo Stanton,NYY,AL,94,4,11,1,0.25,0.887,36,28,-7,OF,0.414,-0.3
595,Bubba Starling,KCR,AL,64,1,5,0,0.169,0.456,25,23,0,OF,0.315,
596,Max Stassi,LAA,AL,105,7,20,0,0.278,0.886,8,6,,P,0.25,0.5
597,Tyler Stephenson,CIN,NL,20,2,6,0,0.294,1.047,1,1,,P,0.367,0.1
598,Andrew Stevenson*,WSN,NL,47,2,12,2,0.366,1.179,1,0,,P,0.395,
599,Christin Stewart*,DET,AL,99,3,9,0,0.167,0.524,5,0,,P,0.421,-0.3
600,DJ Stewart*,BAL,AL,112,7,15,0,0.193,0.809,2,0,,P,0.305,0
601,Trevor Story,COL,NL,259,11,28,15,0.289,0.874,27,0,,P,0.267,-0.4
602,Matt Strahm,SDP,NL,0,0,0,0,,,13,0,,P,0.416,1.1
603,Dee Strange-Gordon*,SEA,AL,82,0,3,3,0.2,0.482,3,0,,P,0.376,
604,Myles Straw,HOU,AL,86,0,8,6,0.207,0.5,9,9,,P,0.341,
605,Garrett Stubbs*,HOU,AL,10,0,1,0,0.125,0.236,2,0,,P,0.237,
606,Eugenio Suárez,CIN,NL,231,15,38,2,0.202,0.781,5,5,,P,0.165,
607,Andrew Susac,PIT,NL,4,0,0,0,0,0.5,4,0,,P,0.304,
608,Kurt Suzuki,WSN,NL,129,2,17,1,0.27,0.745,38,34,-1,C-P,0.227,
609,Dansby Swanson,ATL,NL,264,10,35,5,0.274,0.809,12,1,,P,0.206,
610,Raimel Tapia*,COL,NL,206,1,17,8,0.321,0.772,5,5,,P,0.158,
611,Fernando Tatis Jr.,SDP,NL,257,17,45,11,0.277,0.937,1,1,1,OF,0.254,
612,Mike Tauchman*,NYY,AL,111,0,14,6,0.242,0.648,46,32,-4,2B-OF,0.318,
613,Leody Taveras#,TEX,AL,134,4,6,8,0.227,0.703,6,6,-1,1B,0.288,
614,Beau Taylor*,CLE,AL,24,0,2,0,0.048,0.178,15,1,,P,0.348,0
615,Chris Taylor,LAD,NL,214,8,32,3,0.27,0.842,46,46,8,OF,0.237,-0.3
616,Michael A. Taylor,WSN,NL,99,5,16,0,0.196,0.676,10,10,,P,0.373,
617,Tyrone Taylor,MIL,NL,41,2,6,0,0.237,0.793,11,11,,P,0.289,
618,Anderson Tejeda#,TEX,AL,77,3,8,4,0.253,0.726,6,2,,P,0.306,0.1
619,Rowdy Tellez*,TOR,AL,127,8,23,0,0.283,0.886,31,30,5,3B,0.262,-0.2
620,Matt Thaiss*,LAA,AL,25,1,1,0,0.143,0.566,46,41,2,OF,0.244,-0.1
621,Eric Thames*,WSN,NL,140,3,12,1,0.203,0.617,9,9,,P,0.318,
622,Lane Thomas,STL,NL,40,1,2,0,0.111,0.45,4,0,,P,0.214,1
623,Abraham Toro#,HOU,AL,97,3,9,1,0.149,0.513,8,7,,P,0.22,
624,Luis Torrens,TOT,MLB,78,1,6,0,0.257,0.696,18,0,,P,0.14,
625,Luis Torrens,SDP,NL,13,0,0,0,0.273,0.697,57,57,5,3B-SS,0.424,
626,Luis Torrens,SEA,AL,65,1,6,0,0.254,0.696,6,0,,P,0.248,0.2
627,Gleyber Torres,NYY,AL,160,3,16,1,0.243,0.724,9,4,,P,0.405,1.8
628,Ronald Torreyes,PHI,NL,7,0,0,0,0.143,0.429,36,34,-6,2B-OF-SS,0.352,
629,Jose Trevino,TEX,AL,83,2,9,0,0.25,0.715,24,0,,P,0.276,
630,Chadwick Tromp,SFG,NL,64,4,10,0,0.213,0.645,24,0,,P,0.283,
631,Mike Trout,LAA,AL,241,17,46,1,0.281,0.993,37,32,0,2B-1B,0.344,0
632,Yoshi Tsutsugo*,TBR,AL,185,8,24,0,0.197,0.708,7,6,-1,C,0.239,2
633,Cole Tucker#,PIT,NL,116,1,8,1,0.22,0.527,8,1,,P,0.296,
634,Kyle Tucker*,HOU,AL,228,9,42,8,0.268,0.837,3,0,,P,0.399,
635,Justin Turner,LAD,NL,175,4,23,1,0.307,0.86,1,1,,P,0.166,-0.9
636,Trea Turner,WSN,NL,259,12,41,12,0.335,0.982,30,22,1,C-1B,0.337,
637,Justin Upton,LAA,AL,166,9,22,0,0.204,0.711,15,0,,P,0.338,
638,Luis Urías,MIL,NL,120,0,11,2,0.239,0.602,7,4,1,C,0.203,0.8
639,Ramón Urías,BAL,AL,27,1,3,0,0.36,0.967,21,0,0,P-OF,0.26,0.2
640,Gio Urshela,NYY,AL,174,6,30,1,0.298,0.858,18,9,2,C-1B-P,0,
641,Pat Valaika,BAL,AL,150,8,16,0,0.277,0.791,4,4,,P,0.253,
642,César Valdez,BAL,AL,0,0,0,0,,,4,0,,P,0.267,
643,Josh VanMeter*,TOT,NL,79,2,6,1,0.129,0.485,11,9,,P,0.108,0.8
644,Josh VanMeter*,CIN,NL,38,1,1,1,0.059,0.334,3,0,,P,0.403,
645,Josh VanMeter*,ARI,NL,41,1,5,0,0.194,0.626,45,45,-4,2B-1B-3B,0,-0.1
646,Ildemaro Vargas#,TOT,MLB,54,1,3,0,0.196,0.536,2,0,1,OF,0.268,0
647,Ildemaro Vargas#,TOT,NL,30,1,1,0,0.172,0.476,8,0,,P,0.305,0.4
648,Ildemaro Vargas#,ARI,NL,21,0,0,0,0.15,0.34,22,0,,P,0.419,
649,Ildemaro Vargas#,MIN,AL,24,0,2,0,0.227,0.614,26,23,-2,3B-1B,0.35,
650,Ildemaro Vargas#,CHC,NL,9,1,1,0,0.222,0.778,2,0,,P,0.352,
651,Daulton Varsho*,ARI,NL,115,3,9,3,0.188,0.653,12,12,,P,0.295,
652,Christian Vázquez,BOS,AL,189,7,23,4,0.283,0.801,4,2,,P,0.261,0.7
653,Andrew Velazquez#,BAL,AL,77,0,3,4,0.159,0.48,53,53,11,OF,,0.1
654,Alex Verdugo*,BOS,AL,221,6,15,4,0.308,0.844,5,3,0,C,,
655,Jonathan Villar#,TOT,MLB,207,2,15,16,0.232,0.593,6,6,,P,,0
656,Jonathan Villar#,MIA,NL,128,2,9,9,0.259,0.66,2,0,,P,,-0.5
657,Jonathan Villar#,TOR,AL,79,0,6,7,0.188,0.481,5,0,,P,,
658,Meibrys Viloria*,KCR,AL,24,0,0,0,0.19,0.53,47,46,0,2B-3B-1B,,
659,Daniel Vogelbach*,TOT,MLB,136,6,16,0,0.209,0.722,24,20,-1,C,,
660,Daniel Vogelbach*,TOT,AL,69,2,4,0,0.088,0.457,12,0,,P,,1.5
661,Daniel Vogelbach*,SEA,AL,64,2,4,0,0.094,0.476,12,12,,P,,0
662,Daniel Vogelbach*,TOR,AL,5,0,0,0,0,0.2,2,0,,P,,
663,Daniel Vogelbach*,MIL,NL,67,4,12,0,0.328,0.987,57,56,-7,OF,,
664,Stephen Vogt*,ARI,NL,81,1,7,0,0.167,0.525,6,1,,P,,
665,Luke Voit,NYY,AL,234,22,52,0,0.277,0.948,25,13,2,OF-SS-2B-P-C,,3
666,Joey Votto*,CIN,NL,223,11,22,0,0.226,0.8,12,10,,P,,-0.1
667,LaMonte Wade Jr.*,MIN,AL,44,0,1,1,0.231,0.626,58,58,2,SS,,
668,Tyler Wade*,NYY,AL,105,3,10,4,0.17,0.595,6,0,,P,,
669,Marcus Walden,BOS,AL,0,0,0,0,,,1,0,,P,,
670,Christian Walker,ARI,NL,243,7,34,1,0.271,0.792,12,3,,P,,1.6
671,Neil Walker#,PHI,NL,41,0,3,0,0.231,0.552,25,16,-1,OF,,
672,Chad Wallach,MIA,NL,48,1,6,0,0.227,0.64,7,1,,P,,-0.6
673,Jared Walsh*,LAA,AL,108,9,26,0,0.293,0.971,33,30,0,2B-OF,,
674,Donovan Walton*,SEA,AL,14,0,3,0,0.154,0.445,52,50,6,3B,,1.3
675,Taylor Ward,LAA,AL,102,0,5,2,0.277,0.716,30,24,-2,OF-3B-P,,
676,Joey Wendle*,TBR,AL,184,4,17,8,0.286,0.777,10,6,,P,,
677,Eli White,TEX,AL,52,0,3,1,0.188,0.46,55,51,-3,2B-SS-3B,,
678,Evan White,SEA,AL,202,8,26,1,0.176,0.599,11,11,,P,,0.7
679,Aaron Whitefield,MIN,AL,1,0,0,0,0,0,8,8,,P,,
680,Rowan Wick*,CHC,NL,0,0,0,0,,,20,0,,P,,-0.1
681,Matt Wieters#,STL,NL,41,0,4,0,0.2,0.529,21,2,0,P-OF,,0.7
682,Justin Williams*,STL,NL,6,0,0,0,0.2,0.533,24,0,,P,,-0.2
683,Mason Williams*,BAL,AL,18,0,0,0,0.111,0.333,1,0,,P,,
684,Taylor Williams#,TOT,MLB,0,0,0,0,,,51,46,-2,2B-OF-1B,,0.3
685,Taylor Williams#,SEA,AL,0,0,0,0,,,16,16,-1,1B-3B,,
686,Jesse Winker*,CIN,NL,183,12,23,1,0.255,0.932,3,2,,P,,
687,Dan Winkler,CHC,NL,0,0,0,0,,,1,0,0,C,,
688,Patrick Wisdom,CHC,NL,2,0,0,0,0,0,6,2,-1,3B-2B,,0
689,Tony Wolters*,COL,NL,109,0,8,0,0.23,0.55,16,7,,P,,
690,Kolten Wong*,STL,NL,208,1,16,5,0.265,0.675,29,24,1,OF,,
691,Jake Woodford,STL,NL,0,0,0,0,,,18,15,1,2B,,2.4
692,Mike Yastrzemski*,SFG,NL,225,10,35,2,0.297,0.968,12,9,,P,,0.4
693,Christian Yelich*,MIL,NL,247,12,22,4,0.205,0.786,12,9,,P,,
694,Andrew Young,ARI,NL,34,1,4,0,0.192,0.767,13,13,,P,,0
695,Bradley Zimmer*,CLE,AL,50,1,3,2,0.162,0.603,1,0,,P,,-0.1
696,Mike Zunino,TBR,AL,84,4,10,0,0.147,0.598,56,56,4,3B,,
,,,,,,,,,,19,14,-5,3B-SS-2B-1B,,-0.1
,,,,,,,,,,29,29,1,2B,,0.6
,,,,,,,,,,11,11,,P,,
,,,,,,,,,,11,0,,P,,
,,,,,,,,,,10,9,,P,,
,,,,,,,,,,47,46,2,C,,
,,,,,,,,,,11,11,,P,,3.2
,,,,,,,,,,4,0,,P,,-0.3
,,,,,,,,,,2,0,,P,,0.5
,,,,,,,,,,3,3,0,C,,
,,,,,,,,,,10,7,,P,,
,,,,,,,,,,46,37,8,OF,,
,,,,,,,,,,16,8,-1,OF,,0.8
,,,,,,,,,,34,31,-6,OF,,
,,,,,,,,,,24,20,0,OF-1B,,
,,,,,,,,,,1,0,,P,,
,,,,,,,,,,13,13,,P,,0.2
,,,,,,,,,,23,0,,P,,
,,,,,,,,,,44,44,0,2B-OF-SS,,1
,,,,,,,,,,61,60,-3,OF,,0.2
,,,,,,,,,,15,0,,P,,-0.1
,,,,,,,,,,18,0,,P,,-0.2
,,,,,,,,,,5,3,-1,OF,,
,,,,,,,,,,5,5,,P,,
,,,,,,,,,,6,6,0,OF,,
,,,,,,,,,,6,4,0,1B,,1.5
,,,,,,,,,,12,5,0,OF-2B,,1.6
,,,,,,,,,,13,8,-1,OF-1B-2B,,
,,,,,,,,,,24,22,1,C,,
,,,,,,,,,,7,7,0,3B,,-0.2
,,,,,,,,,,23,0,,P,,
,,,,,,,,,,9,6,,P,,-0.7
,,,,,,,,,,21,0,,P,,-0.4
,,,,,,,,,,12,10,,P,,-0.4
,,,,,,,,,,24,0,,P,,0
,,,,,,,,,,26,23,-2,OF,,0.5
,,,,,,,,,,29,0,,P,,0.2
,,,,,,,,,,20,13,0,3B-SS-2B,,
,,,,,,,,,,42,38,0,OF,,
,,,,,,,,,,9,6,,P,,
,,,,,,,,,,14,11,0,1B-OF,,
,,,,,,,,,,30,27,1,C,,
,,,,,,,,,,4,3,-2,OF,,-0.1
,,,,,,,,,,5,0,,P,,
,,,,,,,,,,5,0,,P,,-0.2
,,,,,,,,,,11,11,,P,,-0.1
,,,,,,,,,,39,36,-11,OF,,
,,,,,,,,,,23,0,,P,,0.1
,,,,,,,,,,24,0,,P,,1.3
,,,,,,,,,,9,0,,P,,-0.4
,,,,,,,,,,18,12,1,C,,
,,,,,,,,,,1,0,,P,,
,,,,,,,,,,8,6,,P,,
,,,,,,,,,,1,1,0,OF,,-0.1
,,,,,,,,,,2,1,1,OF-2B,,
,,,,,,,,,,51,48,2,2B-1B-3B-SS,,
,,,,,,,,,,48,48,6,OF-3B-2B,,
,,,,,,,,,,2,0,,P,,-0.4
,,,,,,,,,,26,24,5,OF,,
,,,,,,,,,,10,10,,P,,
,,,,,,,,,,4,0,,P,,0.1
,,,,,,,,,,1,1,,P,,0
,,,,,,,,,,2,0,,P,,0.5
,,,,,,,,,,7,3,-3,3B-OF-2B,,1.5
,,,,,,,,,,16,12,0,C,,
,,,,,,,,,,3,3,,P,,0.3
,,,,,,,,,,23,0,,P,,
,,,,,,,,,,11,0,,P,,
,,,,,,,,,,33,29,3,2B-3B-SS,,
,,,,,,,,,,7,0,,P,,
,,,,,,,,,,4,1,,P,,-0.4
,,,,,,,,,,32,26,6,OF,,-0.3
,,,,,,,,,,9,6,0,SS-3B-1B,,
,,,,,,,,,,60,60,3,OF-2B-1B,,0
,,,,,,,,,,8,3,,P,,
,,,,,,,,,,13,0,,P,,0.6
,,,,,,,,,,6,4,,P,,
,,,,,,,,,,16,0,,P,,
,,,,,,,,,,18,13,-1,3B-SS-2B,,-0.4
,,,,,,,,,,2,1,,P,,0
,,,,,,,,,,11,11,,P,,-0.1
,,,,,,,,,,19,0,,P,,0.8
,,,,,,,,,,9,9,,P,,
,,,,,,,,,,12,11,,P,,
,,,,,,,,,,22,0,,P,,
,,,,,,,,,,21,0,,P,,
,,,,,,,,,,7,7,,P,,0.9
,,,,,,,,,,42,42,1,C-1B,,
,,,,,,,,,,52,51,8,3B,,
,,,,,,,,,,59,59,2,SS,,0
,,,,,,,,,,6,4,-1,OF,,
,,,,,,,,,,11,11,,P,,
,,,,,,,,,,17,0,,P,,
,,,,,,,,,,10,10,,P,,
,,,,,,,,,,3,1,,P,,
,,,,,,,,,,38,36,2,OF-2B-1B-SS-3B,,
,,,,,,,,,,7,0,,P,,0.4
,,,,,,,,,,26,24,1,1B-3B,,0.6
,,,,,,,,,,9,4,,P,,1.3
,,,,,,,,,,38,33,1,1B,,0.1
,,,,,,,,,,17,0,,P,,
,,,,,,,,,,3,0,,P,,
,,,,,,,,,,2,2,0,1B,,
,,,,,,,,,,9,9,,P,,
,,,,,,,,,,33,32,0,OF-1B,,1.7
,,,,,,,,,,41,41,-2,2B-1B-3B,,
,,,,,,,,,,2,0,,P,,0.5
,,,,,,,,,,47,38,7,OF,,
,,,,,,,,,,56,56,-4,1B-3B-2B,,1.2
,,,,,,,,,,11,11,3,OF,,
,,,,,,,,,,29,27,-1,1B,,
,,,,,,,,,,24,19,0,C-P,,-0.3
,,,,,,,,,,4,0,,P,,
,,,,,,,,,,43,39,1,C,,0.8
,,,,,,,,,,8,8,,P,,0.2
,,,,,,,,,,53,53,-6,OF-1B,,
,,,,,,,,,,39,32,-5,OF,,0.5
,,,,,,,,,,39,32,1,C,,0.5
,,,,,,,,,,2,2,0,C,,0.6
,,,,,,,,,,29,20,4,OF-1B,,-1.1
,,,,,,,,,,4,0,,P,,-0.3
,,,,,,,,,,1,0,,P,,
,,,,,,,,,,11,0,,P,,1.1
,,,,,,,,,,24,0,,P,,
,,,,,,,,,,17,0,,P,,1.8
,,,,,,,,,,20,0,,P,,-0.5
,,,,,,,,,,4,4,,P,,-0.1
,,,,,,,,,,41,41,-5,SS-2B,,0
,,,,,,,,,,5,4,,P,,-0.1
,,,,,,,,,,2,0,,P,,
,,,,,,,,,,7,7,0,C,,
,,,,,,,,,,55,50,-10,OF,,
,,,,,,,,,,1,1,0,1B,,0
,,,,,,,,,,12,12,,P,,
,,,,,,,,,,46,40,1,C-1B-3B,,
,,,,,,,,,,5,3,0,1B-3B,,
,,,,,,,,,,14,1,,P,,-0.4
,,,,,,,,,,3,0,,P,,
,,,,,,,,,,19,16,-1,C,,
,,,,,,,,,,4,4,,P,,0.2
,,,,,,,,,,1,0,0,OF,,1.8
,,,,,,,,,,30,30,0,1B-3B,,-0.1
,,,,,,,,,,19,0,,P,,0
,,,,,,,,,,2,1,0,OF-1B,,1.2
,,,,,,,,,,27,25,1,1B,,-0.1
,,,,,,,,,,48,41,7,OF,,
,,,,,,,,,,18,15,-1,C,,
,,,,,,,,,,37,37,-3,2B,,0.5
,,,,,,,,,,4,4,,P,,
,,,,,,,,,,2,2,,P,,0
,,,,,,,,,,5,4,0,OF,,0.6
,,,,,,,,,,30,24,-2,OF,,
,,,,,,,,,,60,59,-2,1B,,0.1
,,,,,,,,,,1,0,0,OF,,-0.6
,,,,,,,,,,5,1,-1,SS-2B,,0.9
,,,,,,,,,,17,1,,P,,-0.2
,,,,,,,,,,20,18,1,OF-1B-3B,,-0.6
,,,,,,,,,,4,0,,P,,
,,,,,,,,,,4,1,,P,,0
,,,,,,,,,,24,0,,P,,-0.2
,,,,,,,,,,5,5,,P,,-0.8
,,,,,,,,,,15,11,-2,2B-OF-3B-SS,,1.1
,,,,,,,,,,21,21,0,OF,,0.2
,,,,,,,,,,2,1,0,OF,,-0.3
,,,,,,,,,,12,12,,P,,
,,,,,,,,,,22,0,,P,,0
,,,,,,,,,,2,0,,P,,
,,,,,,,,,,38,30,-2,2B-SS-3B,,
,,,,,,,,,,22,0,,P,,
,,,,,,,,,,33,30,-3,3B,,
,,,,,,,,,,14,1,,P,,0.2
,,,,,,,,,,11,1,,P,,2.6
,,,,,,,,,,5,5,,P,,-0.1
,,,,,,,,,,2,0,,P,,
,,,,,,,,,,6,6,0,OF,,0
,,,,,,,,,,6,0,,P,,
,,,,,,,,,,3,0,,P,,-0.3
,,,,,,,,,,5,4,,P,,
,,,,,,,,,,29,26,-1,OF,,-0.2
,,,,,,,,,,25,0,,P,,0
,,,,,,,,,,10,9,2,OF,,
,,,,,,,,,,45,45,6,OF,,
,,,,,,,,,,15,1,,P,,
,,,,,,,,,,25,0,,P,,-0.2
,,,,,,,,,,32,30,-4,2B-OF-SS-3B-P,,
,,,,,,,,,,3,0,,P,,
,,,,,,,,,,10,1,,P,,
,,,,,,,,,,7,0,,P,,-0.3
,,,,,,,,,,1,0,,P,,
,,,,,,,,,,2,1,0,OF-2B-1B,,-0.6
,,,,,,,,,,12,12,,P,,0.7
,,,,,,,,,,38,27,0,C-1B,,
,,,,,,,,,,21,0,,P,,
,,,,,,,,,,32,30,7,C,,0
,,,,,,,,,,35,34,1,C-1B,,
,,,,,,,,,,1,1,,P,,
,,,,,,,,,,10,9,,P,,
,,,,,,,,,,24,15,0,OF-1B-3B-2B,,
,,,,,,,,,,26,0,,P,,-0.1
,,,,,,,,,,18,18,-2,OF,,
,,,,,,,,,,4,0,0,C,,-0.1
,,,,,,,,,,22,0,,P,,
,,,,,,,,,,31,16,0,OF,,0.2
,,,,,,,,,,14,0,,P,,2.1
,,,,,,,,,,50,46,-5,OF,,
,,,,,,,,,,13,12,3,C,,
,,,,,,,,,,23,12,1,2B-3B-OF,,0.3
,,,,,,,,,,5,5,,P,,
,,,,,,,,,,44,44,1,OF,,-0.1
,,,,,,,,,,5,2,,P,,-0.1
,,,,,,,,,,22,18,-1,C-1B-P,,0
,,,,,,,,,,8,8,,P,,0.3
,,,,,,,,,,10,4,,P,,
,,,,,,,,,,39,38,5,OF,,0.9
,,,,,,,,,,53,53,0,SS,,0.6
,,,,,,,,,,42,37,-2,OF,,0.1
,,,,,,,,,,20,0,,P,,
,,,,,,,,,,9,8,,P,,0
,,,,,,,,,,5,3,,P,,
,,,,,,,,,,6,0,,P,,0.6
,,,,,,,,,,12,12,,P,,
,,,,,,,,,,23,0,,P,,0
,,,,,,,,,,55,50,0,OF-2B-1B,,-1
,,,,,,,,,,5,2,1,OF,,0.2
,,,,,,,,,,26,26,2,1B,,0.9
,,,,,,,,,,18,3,,P,,
,,,,,,,,,,3,0,,P,,
,,,,,,,,,,6,0,,P,,
,,,,,,,,,,39,30,-10,OF,,
,,,,,,,,,,4,1,,P,,
,,,,,,,,,,20,0,,P,,
,,,,,,,,,,21,0,,P,,1.3
,,,,,,,,,,6,0,,P,,0.2
,,,,,,,,,,3,3,0,OF,,0
,,,,,,,,,,57,57,-3,3B,,
,,,,,,,,,,5,0,,P,,
,,,,,,,,,,21,0,,P,,
,,,,,,,,,,1,0,,P,,0
,,,,,,,,,,16,0,,P,,
,,,,,,,,,,3,0,,P,,
,,,,,,,,,,41,38,-2,C,,
,,,,,,,,,,12,0,,P,,
,,,,,,,,,,7,6,-1,OF-1B,,-0.1
,,,,,,,,,,12,11,,P,,2.5
,,,,,,,,,,9,2,,P,,
,,,,,,,,,,38,37,3,C-1B,,
,,,,,,,,,,50,49,-4,OF,,
,,,,,,,,,,11,0,,P,,
,,,,,,,,,,7,4,1,1B-OF,,
,,,,,,,,,,5,0,,P,,0.3
,,,,,,,,,,52,52,1,3B,,
,,,,,,,,,,40,33,-1,OF-1B,,-0.2
,,,,,,,,,,33,26,0,2B-SS-3B,,
,,,,,,,,,,15,1,,P,,
,,,,,,,,,,1,1,-1,OF,,1.3
,,,,,,,,,,56,50,1,OF,,-0.4
,,,,,,,,,,53,51,0,OF,,
,,,,,,,,,,3,3,0,3B,,0
,,,,,,,,,,14,10,,P,,
,,,,,,,,,,9,4,,P,,2.2
,,,,,,,,,,3,3,-1,OF,,0
,,,,,,,,,,21,19,-3,3B-OF-SS-2B-1B,,-0.4
,,,,,,,,,,51,51,-15,3B-OF-1B,,
,,,,,,,,,,27,19,1,3B-1B,,0.4
,,,,,,,,,,3,0,,P,,0.7
,,,,,,,,,,1,1,0,C,,0.5
,,,,,,,,,,4,2,-1,SS-2B-1B,,-0.2
,,,,,,,,,,57,57,6,1B,,
,,,,,,,,,,11,11,,P,,
,,,,,,,,,,56,55,6,OF,,-0.1
,,,,,,,,,,12,5,-1,SS-OF-2B-3B,,-0.7
,,,,,,,,,,18,0,,P,,-0.6
,,,,,,,,,,52,51,-5,OF,,0.6
,,,,,,,,,,5,4,0,2B-SS,,
,,,,,,,,,,4,2,,P,,0.1
,,,,,,,,,,2,0,,P,,0
,,,,,,,,,,12,0,,P,,1.1
,,,,,,,,,,1,0,,P,,
,,,,,,,,,,5,0,,P,,1.8
,,,,,,,,,,24,0,,P,,0
,,,,,,,,,,4,3,0,2B-OF,,
,,,,,,,,,,10,0,,P,,-0.3
,,,,,,,,,,21,0,,P,,-0.5
,,,,,,,,,,7,7,,P,,
,,,,,,,,,,29,0,,P,,
,,,,,,,,,,11,11,0,2B-SS-OF,,
,,,,,,,,,,40,38,7,SS-3B-1B,,
,,,,,,,,,,15,0,,P,,
,,,,,,,,,,2,0,,P,,
,,,,,,,,,,12,0,,P,,-0.3
,,,,,,,,,,3,0,,P,,
,,,,,,,,,,1,0,0,SS,,
,,,,,,,,,,37,37,1,C-1B,,
,,,,,,,,,,24,0,,P,,
,,,,,,,,,,23,0,,P,,-0.3
,,,,,,,,,,5,5,-1,OF,,1.5
,,,,,,,,,,44,37,-4,SS,,
,,,,,,,,,,51,51,-4,OF,,
,,,,,,,,,,4,0,,P,,
,,,,,,,,,,23,0,,P,,
,,,,,,,,,,7,1,,P,,0
,,,,,,,,,,27,18,0,OF-1B,,-0.2
,,,,,,,,,,5,0,,P,,
,,,,,,,,,,2,2,0,C,,
,,,,,,,,,,53,50,6,3B-OF-2B,,0
,,,,,,,,,,1,0,,P,,0.1
,,,,,,,,,,18,0,,P,,1.1
,,,,,,,,,,12,12,,P,,
,,,,,,,,,,17,0,,P,,0
,,,,,,,,,,4,4,,P,,
,,,,,,,,,,2,0,,P,,0.7
,,,,,,,,,,5,4,-1,C,,0
,,,,,,,,,,11,11,,P,,0.1
,,,,,,,,,,41,38,-3,C,,0.8
,,,,,,,,,,10,8,-1,OF,,
,,,,,,,,,,3,0,,P,,
,,,,,,,,,,7,7,,P,,
,,,,,,,,,,9,6,0,3B-SS-2B-P,,
,,,,,,,,,,13,8,-1,1B-3B,,
,,,,,,,,,,9,6,,P,,
,,,,,,,,,,52,52,1,1B,,-0.1
,,,,,,,,,,60,60,0,1B,,
,,,,,,,,,,13,13,3,1B-OF,,-0.3
,,,,,,,,,,12,0,,P,,-0.5
,,,,,,,,,,23,23,5,OF,,
,,,,,,,,,,36,36,6,OF,,
,,,,,,,,,,3,1,,P,,0.3
,,,,,,,,,,4,0,,P,,-0.5
,,,,,,,,,,1,0,0,OF,,
,,,,,,,,,,12,12,,P,,-0.1
,,,,,,,,,,3,1,,P,,1.1
,,,,,,,,,,44,44,6,2B,,-0.1
,,,,,,,,,,15,0,,P,,
,,,,,,,,,,7,4,-1,2B-3B-P,,-0.3
,,,,,,,,,,48,48,1,OF,,1.6
,,,,,,,,,,25,0,,P,,
,,,,,,,,,,20,0,,P,,
,,,,,,,,,,43,43,2,SS,,0
,,,,,,,,,,53,53,-4,3B,,
,,,,,,,,,,53,53,4,2B-3B-SS,,
,,,,,,,,,,24,0,,P,,1.3
,,,,,,,,,,53,53,-2,SS,,
,,,,,,,,,,12,12,,P,,0
,,,,,,,,,,23,20,-2,OF,,0.1
,,,,,,,,,,35,32,0,C,,
,,,,,,,,,,5,0,,P,,
,,,,,,,,,,5,0,,P,,2.1
,,,,,,,,,,4,0,,P,,1.1
,,,,,,,,,,6,0,,P,,1.2
,,,,,,,,,,46,40,4,3B-1B,,
,,,,,,,,,,10,10,,P,,0.4
,,,,,,,,,,10,0,,P,,
,,,,,,,,,,6,6,,P,,-0.3
,,,,,,,,,,17,0,,P,,0.9
,,,,,,,,,,17,13,2,OF,,
,,,,,,,,,,30,30,1,SS,,
,,,,,,,,,,20,0,,P,,
